area (px),semiaxis minor (px),semiaxis major (px),eccentricity (px),blue channel,green channel,red channel,deviation blue channel,deviation green channel,deviation red channel,class
3.9858581751944104e-07,4.5458316097853954e-07,1.112782474205672e-06,0.9127536862508564,0.48235294,0.6051282,0.6651376,3.438032752047637,1.6823940760088345,0.7714633558002355,0
2.4911613594965065e-08,1.0295383226294958e-07,1.888106588136976e-07,0.83825687899236,0.4882353,0.61025643,0.6788991,3.637908052713812,4.313858481684349,4.313858481684349,0
9.134258318153857e-08,4.859960166890211e-08,8.89840112144173e-08,0.8376801891105004,0.5588235,0.63589746,0.70642203,2.2449944320643644,1.9723082923316018,1.661324772583615,0
4.982322718993012e-07,9.140350550011985e-08,2.845072119362202e-07,0.9469877891203781,0.5411765,0.6512821,0.72477067,5.626041570233906,5.8723398232731725,5.43103063423509,0
5.140096271761125e-06,4.4034667708929655e-07,5.580533797783057e-07,0.614295243828737,0.5294118,0.62051284,0.69266057,1.6923753734544074,1.9468841582110272,1.162162162162162,0
5.06536143097623e-07,1.3528559103291108e-07,2.5120016548331604e-07,0.8425891219657053,0.5352941,0.61538464,0.6880734,2.080264406271472,1.4097872179871684,1.3518505834595773,0
2.2420452235468557e-07,9.401268019329138e-08,2.0312399050997464e-07,0.8864449947320652,0.5117647,0.62051284,0.6788991,1.42828568570857,1.4696938456699067,1.42828568570857,0
1.3286193917314701e-07,3.957513181505132e-08,1.337371837453868e-07,0.9552135969331231,0.5117647,0.61538464,0.6880734,1.165922381636102,0.4841229182759271,0.0,0
3.3215484793286753e-08,2.669624632147548e-08,6.375504801154022e-08,0.9081100915246858,0.5352941,0.6,0.6788991,1.124858267715973,1.749635530559413,1.4568627181693672,0
8.303871198321688e-08,3.659724761572795e-08,7.717627914245381e-08,0.8804153641884532,0.4882353,0.61025643,0.6880734,3.958973274443148,1.9587584572574412,0.4948716593053935,0
3.7367420392447594e-07,2.1608188970869085e-07,2.881843446583683e-07,0.6616595509491116,0.4882353,0.61025643,0.6880734,9.12125424004641,8.086549959620177,8.654622714541967,0
4.151935599160844e-07,1.422863597325261e-07,1.7352963393643027e-07,0.5724290684794016,0.49411765,0.5794872,0.6559633,2.9485954073139737,2.7990553306073913,2.641061644787991,0
